date,datetime,modalidad,rating,opp_rating,result,color
2020-11-11,2020-11-11 19:32,Rapid,712,1102,Loss,white
2020-12-17,2020-12-17 22:17,Rapid,669,1102,Loss,black
2020-12-17,2020-12-17 22:44,Rapid,555,723,Loss,white
2020-12-22,2020-12-22 23:00,Rapid,499,744,Loss,black
2020-12-23,2020-12-23 23:17,Rapid,464,759,Loss,white
2021-01-28,2021-01-28 01:36,Daily,654,946,Loss,black
2021-01-28,2021-01-28 02:15,Daily,597,1003,Loss,black
2021-01-28,2021-01-28 02:28,Daily,565,1035,Loss,white
2021-01-28,2021-01-28 19:33,Daily,543,1057,Loss,white
2021-02-10,2021-02-10 00:08,Daily,526,1074,Loss,black
2021-02-10,2021-02-10 01:19,Daily,513,1087,Loss,white
2021-02-13,2021-02-13 14:09,Daily,502,1098,Loss,white
2021-02-14,2021-02-14 03:22,Daily,493,1107,Loss,black
2021-02-17,2021-02-17 19:36,Daily,487,1136,Loss,white
2021-02-19,2021-02-19 01:11,Daily,482,1143,Loss,black
2021-02-19,2021-02-19 16:43,Daily,479,1207,Loss,black
2021-02-19,2021-02-19 22:22,Daily,472,1214,Loss,white
2021-02-19,2021-02-19 23:09,Daily,466,1226,Loss,black
2021-02-20,2021-02-20 02:48,Daily,462,1170,Loss,white
2021-02-20,2021-02-20 15:03,Daily,438,862,Loss,black
2021-02-22,2021-02-22 17:55,Daily,436,1207,Loss,black
2021-02-22,2021-02-22 23:50,Daily,434,1208,Loss,white
2021-02-23,2021-02-23 00:53,Daily,432,1206,Loss,white
2021-02-27,2021-02-27 19:54,Daily,430,1226,Loss,black
2021-03-02,2021-03-02 03:05,Daily,429,1273,Loss,white
2021-03-02,2021-03-02 12:54,Daily,487,394,Win,white
2021-03-04,2021-03-04 15:48,Daily,485,1259,Loss,black
2021-03-06,2021-03-06 13:38,Daily,484,1283,Loss,white
2021-03-08,2021-03-08 07:08,Daily,533,455,Win,black
2021-03-10,2021-03-10 18:58,Daily,532,1328,Loss,black
2021-03-13,2021-03-13 00:15,Daily,531,1324,Loss,black
2021-03-13,2021-03-13 02:21,Daily,631,1294,Win,white
2021-03-15,2021-03-15 00:06,Daily,629,1312,Loss,black
2021-03-15,2021-03-15 03:19,Daily,686,722,Win,black
2021-03-16,2021-03-16 17:40,Daily,726,655,Win,white
2021-03-17,2021-03-17 23:08,Daily,724,1354,Loss,white
2021-03-19,2021-03-19 18:40,Daily,724,563,Win,black
2021-03-19,2021-03-19 21:53,Daily,752,637,Win,white
2021-03-22,2021-03-22 18:03,Daily,752,749,Loss,white
2021-03-30,2021-03-30 00:43,Daily,750,1381,Loss,white
2021-04-03,2021-04-03 00:59,Daily,748,1402,Loss,black
2021-04-14,2021-04-14 00:50,Daily,747,1450,Loss,white
2021-04-25,2021-04-25 01:40,Daily,746,1460,Loss,black
2021-04-27,2021-04-27 18:45,Rapid,459,1108,Loss,black
2021-05-01,2021-05-01 19:27,Daily,745,1470,Loss,white
