month,modalidad,win,loss,draw,total,win_pct
2020-11,Rapid,0,1,0,1,0.0
2020-12,Rapid,0,4,0,4,0.0
2021-01,Daily,0,4,0,4,0.0
2021-02,Daily,0,15,0,15,0.0
2021-03,Daily,7,9,0,16,43.8
2021-04,Daily,0,3,0,3,0.0
2021-04,Rapid,0,1,0,1,0.0
2021-05,Daily,0,5,0,5,0.0
2021-06,Daily,0,4,0,4,0.0
2021-07,Daily,0,1,0,1,0.0
2021-08,Daily,1,3,0,4,25.0
2021-09,Daily,7,8,0,15,46.7
2021-10,Daily,3,6,1,10,30.0
2021-10,Rapid,0,0,1,1,0.0
2021-11,Daily,1,5,0,6,16.7
2021-12,Daily,3,6,0,9,33.3
2022-01,Daily,0,4,0,4,0.0
2022-02,Daily,0,1,0,1,0.0
2022-04,Daily,0,1,0,1,0.0
2022-05,Daily,1,0,0,1,100.0
2022-06,Daily,0,1,0,1,0.0
2022-07,Daily,3,4,0,7,42.9
2022-08,Daily,1,4,0,5,20.0
2022-09,Daily,0,1,0,1,0.0
2022-10,Daily,0,2,0,2,0.0
2022-11,Daily,0,2,0,2,0.0
2022-12,Daily,1,3,0,4,25.0
2023-01,Daily,1,5,0,6,16.7
2023-02,Daily,0,5,0,5,0.0
2023-03,Daily,1,4,0,5,20.0
2023-04,Daily,0,4,0,4,0.0
2023-05,Daily,0,5,0,5,0.0
2023-06,Daily,2,6,0,8,25.0
2023-07,Daily,3,3,0,6,50.0
2023-08,Daily,3,7,0,10,30.0
2023-09,Daily,3,4,0,7,42.9
2023-10,Daily,5,5,1,11,45.5
2023-11,Daily,7,7,0,14,50.0
2023-12,Daily,3,8,0,11,27.3
2024-01,Daily,4,7,0,11,36.4
2024-02,Daily,2,5,1,8,25.0
2024-03,Daily,5,8,0,13,38.5
2024-04,Daily,4,8,0,12,33.3
2024-05,Daily,0,3,0,3,0.0
2024-06,Daily,6,5,0,11,54.5
2024-07,Daily,6,5,0,11,54.5
2024-08,Daily,3,4,0,7,42.9
2024-09,Daily,0,3,0,3,0.0
2024-10,Daily,2,3,0,5,40.0
2024-11,Daily,1,1,0,2,50.0
2024-12,Daily,2,2,0,4,50.0
2025-01,Daily,2,2,0,4,50.0
2025-02,Daily,2,2,0,4,50.0
2025-03,Daily,1,4,0,5,20.0
2025-04,Blitz,2,3,0,5,40.0
2025-04,Daily,3,3,0,6,50.0
2025-05,Blitz,1,4,0,5,20.0
2025-05,Daily,2,5,0,7,28.6
2025-06,Blitz,3,11,0,14,21.4
2025-06,Daily,5,4,0,9,55.6
2025-07,Blitz,2,0,0,2,100.0
2025-07,Daily,2,1,0,3,66.7
2025-08,Blitz,0,2,0,2,0.0
2025-08,Daily,3,3,0,6,50.0
2025-09,Daily,0,2,0,2,0.0
2025-10,Daily,1,5,0,6,16.7
2025-11,Blitz,6,8,0,14,42.9
2025-11,Daily,3,1,0,4,75.0
2025-12,Blitz,0,3,0,3,0.0
2025-12,Daily,7,3,0,10,70.0
2026-01,Blitz,2,6,0,8,25.0
2026-01,Daily,4,3,0,7,57.1
2026-02,Daily,2,4,0,6,33.3
2026-03,Daily,0,3,0,3,0.0
2026-04,Daily,2,0,0,2,100.0
