weekday_num,weekday,hour,games
0,Monday,0,5
0,Monday,1,4
0,Monday,2,3
0,Monday,3,5
0,Monday,4,1
0,Monday,5,1
0,Monday,6,1
0,Monday,7,1
0,Monday,8,0
0,Monday,9,0
0,Monday,10,0
0,Monday,11,1
0,Monday,12,1
0,Monday,13,1
0,Monday,14,4
0,Monday,15,2
0,Monday,16,5
0,Monday,17,9
0,Monday,18,5
0,Monday,19,4
0,Monday,20,2
0,Monday,21,4
0,Monday,22,4
0,Monday,23,4
1,Tuesday,0,6
1,Tuesday,1,4
1,Tuesday,2,3
1,Tuesday,3,7
1,Tuesday,4,0
1,Tuesday,5,1
1,Tuesday,6,0
1,Tuesday,7,0
1,Tuesday,8,1
1,Tuesday,9,0
1,Tuesday,10,2
1,Tuesday,11,1
1,Tuesday,12,4
1,Tuesday,13,8
1,Tuesday,14,7
1,Tuesday,15,3
1,Tuesday,16,5
1,Tuesday,17,5
1,Tuesday,18,6
1,Tuesday,19,1
1,Tuesday,20,5
1,Tuesday,21,3
1,Tuesday,22,5
1,Tuesday,23,5
2,Wednesday,0,8
2,Wednesday,1,8
2,Wednesday,2,5
2,Wednesday,3,3
2,Wednesday,4,0
2,Wednesday,5,0
2,Wednesday,6,0
2,Wednesday,7,0
2,Wednesday,8,0
2,Wednesday,9,1
2,Wednesday,10,0
2,Wednesday,11,2
2,Wednesday,12,0
2,Wednesday,13,3
2,Wednesday,14,1
2,Wednesday,15,3
2,Wednesday,16,3
2,Wednesday,17,2
2,Wednesday,18,6
2,Wednesday,19,3
2,Wednesday,20,5
2,Wednesday,21,7
2,Wednesday,22,3
2,Wednesday,23,7
3,Thursday,0,2
3,Thursday,1,6
3,Thursday,2,6
3,Thursday,3,3
3,Thursday,4,0
3,Thursday,5,0
3,Thursday,6,1
3,Thursday,7,0
3,Thursday,8,1
3,Thursday,9,1
3,Thursday,10,2
3,Thursday,11,0
3,Thursday,12,4
3,Thursday,13,1
3,Thursday,14,2
3,Thursday,15,4
3,Thursday,16,1
3,Thursday,17,1
3,Thursday,18,2
3,Thursday,19,4
3,Thursday,20,5
3,Thursday,21,2
3,Thursday,22,3
3,Thursday,23,4
4,Friday,0,3
4,Friday,1,5
4,Friday,2,5
4,Friday,3,0
4,Friday,4,1
4,Friday,5,0
4,Friday,6,0
4,Friday,7,0
4,Friday,8,0
4,Friday,9,0
4,Friday,10,0
4,Friday,11,0
4,Friday,12,3
4,Friday,13,3
4,Friday,14,1
4,Friday,15,3
4,Friday,16,2
4,Friday,17,6
4,Friday,18,5
4,Friday,19,4
4,Friday,20,4
4,Friday,21,7
4,Friday,22,3
4,Friday,23,6
5,Saturday,0,4
5,Saturday,1,4
5,Saturday,2,6
5,Saturday,3,2
5,Saturday,4,0
5,Saturday,5,2
5,Saturday,6,1
5,Saturday,7,0
5,Saturday,8,2
5,Saturday,9,0
5,Saturday,10,1
5,Saturday,11,0
5,Saturday,12,3
5,Saturday,13,2
5,Saturday,14,4
5,Saturday,15,5
5,Saturday,16,5
5,Saturday,17,6
5,Saturday,18,0
5,Saturday,19,4
5,Saturday,20,5
5,Saturday,21,2
5,Saturday,22,9
5,Saturday,23,0
6,Sunday,0,2
6,Sunday,1,3
6,Sunday,2,2
6,Sunday,3,1
6,Sunday,4,3
6,Sunday,5,2
6,Sunday,6,1
6,Sunday,7,1
6,Sunday,8,0
6,Sunday,9,0
6,Sunday,10,0
6,Sunday,11,0
6,Sunday,12,0
6,Sunday,13,1
6,Sunday,14,2
6,Sunday,15,1
6,Sunday,16,5
6,Sunday,17,2
6,Sunday,18,5
6,Sunday,19,2
6,Sunday,20,3
6,Sunday,21,3
6,Sunday,22,3
6,Sunday,23,3
